index,name,duration,is_loop,is_best,playlist,playlist_2,playlist_3,id,thumbnail_url
1,"Opening",122035,False,True,"卡拉莫|神秘魔像","","Nintendo Music精选集","9796719f-d93d-40c3-856b-3579b36ec7c0","https://image-assets.m.nintendo.com/2b273516-7598-4b92-ba5c-b4a6d324ce16"
2,"Land of Antiquity",222002,True,True,"原野","冒险的开始|跑步","Nintendo Music精选集","b9cd139e-189b-49f3-829b-1c4075518c29","https://image-assets.m.nintendo.com/ea5cf5f1-f09b-46b0-be7a-c296c4588a3e"
3,"The Kingdom of Hyrule - Age of Legends",370651,True,True,"劳鲁|索尼娅","标题画面","Nintendo Music精选集","1c488a37-d9fa-4f88-b33d-4ad05107fe1b","https://image-assets.m.nintendo.com/caf8f13e-1bc6-4381-9e46-53535b8d1dc2"
4,"The Royal Memoirs - Memories of Peace",183198,True,True,"","","Nintendo Music精选集","2d52e3b0-6ce0-485b-bc87-55b4f09528d2","https://image-assets.m.nintendo.com/8db8830d-8bde-423f-9c67-c04e262aea24"
5,"Sacred Mysteries",126295,True,False,"","","","36d4bb25-6cb9-43df-a6ba-9b479df7772b","https://image-assets.m.nintendo.com/dd434888-61b4-405d-ad8c-41b8bb328478"
6,"The Unknown Abyss",175087,True,True,"原野|米涅鲁","或许存在鬼怪","Nintendo Music精选集","dac3a0ce-0251-4b1a-8518-8c912a51fc74","https://image-assets.m.nintendo.com/db8fddad-75d6-43a3-bfbb-b2f84e21e48a"
7,"Fierce Clash: Frox",202137,False,True,"头目战斗","","Nintendo Music精选集","18ac0f4e-2bd6-4995-bc7a-7c6d7658220a","https://image-assets.m.nintendo.com/7e51e813-77d9-4b46-beeb-dd117bf79ff9"
8,"Fierce Clash: Talus",142072,False,True,"头目战斗","","Nintendo Music精选集","1f1ae0c8-97dc-4eb4-a024-6fe7cd96bfb9","https://image-assets.m.nintendo.com/7010632f-a48a-4ab3-9908-e59b4fbe1273"
9,"Fierce Clash: Flux Construct",135218,False,True,"头目战斗","","Nintendo Music精选集","78a4bca3-c107-40d7-92f7-02a477d9c75b","https://image-assets.m.nintendo.com/ee0f9087-4c67-46ec-a202-65ffac0cba4a"
10,"Encountering the Unknown",183274,True,True,"米涅鲁","","Nintendo Music精选集","ebc62fd6-11b8-40b7-b45e-b2e6870be797","https://image-assets.m.nintendo.com/5701996e-534f-440a-9f50-0ab29490f296"
11,"Repose",135082,True,True,"索尼娅","放松一下","Nintendo Music精选集","6e17cda9-c182-4e84-8b4e-bdcbff596751","https://image-assets.m.nintendo.com/3d66eb27-7f4b-4186-aeb7-0604724aefa1"
12,"Training Grounds",132862,True,True,"原野","","Nintendo Music精选集","9c496126-6262-430d-8c00-062b36f8ab88","https://image-assets.m.nintendo.com/10b09181-76b4-4f78-a1af-f914d8ed3482"
13,"Joyful Days",157370,True,True,"塞尔达|索尼娅","","Nintendo Music精选集","5fc4a7b1-42cd-4a45-8f37-5f1647b69c5c","https://image-assets.m.nintendo.com/74d35e20-33cd-48eb-9b36-16ac4e082be1"
14,"Stay Alert!",207093,True,False,"","","","26547621-00ba-43f7-a574-4392350f6a2a","https://image-assets.m.nintendo.com/a7a77796-e66b-4a2c-b997-a5cc1a2ba9a0"
15,"Wicked Designs",191905,True,True,"原野","","Nintendo Music精选集","5075db36-e475-4091-a5fb-5084b74b6949","https://image-assets.m.nintendo.com/fd7abd6f-e497-4895-9985-addc05a3140a"
16,"Looming Crisis",138481,True,False,"","","","1bb17639-aa9d-428e-9691-807e50175046","https://image-assets.m.nintendo.com/d95639fb-cd1e-4410-94b2-03607bc7c399"
17,"The Kingdom of Hyrule - Rise of the Demon King",300669,True,True,"加侬·加侬多夫","标题画面","Nintendo Music精选集","92316dd7-511d-4c82-b53f-019da55db9df","https://image-assets.m.nintendo.com/d6b9cbb5-0e18-4ded-90e8-4f4cf10113d2"
18,"Deluge of Loss",195775,True,True,"原野","","Nintendo Music精选集","d5a03c58-94f9-46f3-9613-53340f96f121","https://image-assets.m.nintendo.com/22c30e6d-e3ad-4866-af37-42db4a390716"
19,"Fierce Clash: Hinox",158941,False,True,"头目战斗","","Nintendo Music精选集","7f66c58b-d562-45ce-9d5b-58eda58a7f1b","https://image-assets.m.nintendo.com/1960a862-82e2-46cb-a7c6-b2a5360dc150"
20,"Reflecting on Battle",127406,True,True,"","","Nintendo Music精选集","2bbe36fb-9e2e-4648-b75c-43b781063420","https://image-assets.m.nintendo.com/8de70d03-1088-4590-a940-02322ec0a570"
21,"Razor's Edge",153158,False,True,"头目战斗","","Nintendo Music精选集","065932bc-14e0-4cb3-b481-30a4777042ef","https://image-assets.m.nintendo.com/1e8b468d-bfb5-4a46-807d-5a1d8500c98b"
22,"On the Offensive",138316,False,True,"头目战斗","","Nintendo Music精选|Nintendo Music精选集|塞尔达传说精选","d37425c3-a336-4517-93ca-d4b1f408340a","https://image-assets.m.nintendo.com/06885fc9-3c85-40af-80ca-e04caefd129c"
23,"Imminent Danger",139779,False,True,"头目战斗","","Nintendo Music精选集","454318a4-ac76-4517-93ef-09af01d8ed65","https://image-assets.m.nintendo.com/23edb719-8678-40c5-b2ee-93b47a3f9ecb"
24,"The Royal Memoirs - Memories of Strife",282035,True,True,"","","Nintendo Music精选集","b867128a-8459-40b5-bdb3-6c9b1bdf95d2","https://image-assets.m.nintendo.com/2712ac6d-271e-4437-9aa3-58bdd0058dac"
25,"The Soaring Construct",244181,True,True,"神秘魔像","","Nintendo Music精选集","b59a46eb-83a5-4136-8b99-a09c2fb29d0c","https://image-assets.m.nintendo.com/9de043e4-d7a9-48c1-84ec-3f5f7d5878ac"
26,"The Traveling Korok",151982,True,True,"卡拉莫","","Nintendo Music精选集","a2267407-181c-40e5-b98d-ea440dc1577b","https://image-assets.m.nintendo.com/2a64baa0-1450-4315-b35a-12c163fd77aa"
27,"The Blood Moon Rises",191213,False,True,"卡拉莫|原野|神秘魔像","","Nintendo Music精选集","53e0478d-8c84-4081-8872-46fa76b2f785","https://image-assets.m.nintendo.com/fb807e8c-41d6-48bb-9b15-0fcba830f8e7"
28,"Fierce Clash: Gleeok",177918,False,True,"头目战斗|神秘魔像","","Nintendo Music精选集","eb9fd1b9-2901-45b5-8a25-20a37c204f49","https://image-assets.m.nintendo.com/bab83f12-3b9e-4e6f-8c33-8af4da139c08"
29,"Battle for the Snowfield",208673,True,True,"原野","","Nintendo Music精选集","0d790a2f-a180-46b6-ab90-33c069787f20","https://image-assets.m.nintendo.com/b1946615-439b-4b33-81db-5fe81bb5be04"
30,"Grimgera, Archfiend of Tempests",132543,False,True,"头目战斗","","Nintendo Music精选集","a69a41b8-6c20-427e-a37b-b7ce2db5f064","https://image-assets.m.nintendo.com/cdcf5ea8-644a-4df6-a4a1-96c6eccc1026"
