index,name,duration,isLoop,isBest,playlist,id,thumbnailURL
1,"Main Theme",118125,False,False,"","db161ce5-745a-461c-a4de-a61b95268497","https://image-assets.m.nintendo.com/5bdfd83a-a15d-486c-bd09-6e0e91b5eab5"
2,"Sheikah Slate Acquired",7682,False,False,"","d1ba0f2f-a6d1-455a-90b4-edfb29675225","https://image-assets.m.nintendo.com/bf7d9831-adf2-465f-a7ec-61d2f66534a8"
3,"Opening",40961,False,True,"","a2254484-11b7-47de-ad06-a1bb6a240eae","https://image-assets.m.nintendo.com/d25f4d4e-5e25-4a33-be73-5c766fc4b5bc"
4,"A Sheikah Tower Emerges",37798,False,False,"","76f1f73b-2ee8-4c08-868f-91ef5cb270ba","https://image-assets.m.nintendo.com/120bf296-2f16-473d-aa1e-d4905477bfb6"
5,"The Beast in the Castle",36974,False,False,"","ec82adad-d45c-48e4-a0c3-07a3c061b322","https://image-assets.m.nintendo.com/8a24be6a-72b4-4aa7-8ec1-eab6c255877c"
6,"Sheikah Tower",114731,True,False,"原野","0e8d2aa4-20ef-4e7f-bf69-5cda5562450e","https://image-assets.m.nintendo.com/8c31cd6f-827f-4a9f-808e-94f5b1f23e1d"
7,"The Mysterious Old Man",9771,False,False,"海拉鲁的人们","ce18be3a-db78-4dcb-8502-6d84b9711955","https://image-assets.m.nintendo.com/eaaf432e-7c99-4c96-815d-6ecafe665560"
8,"The Shrine's Trial Begins",8185,False,False,"","a34248eb-243e-498a-8e58-29f131cbcdc0","https://image-assets.m.nintendo.com/3be33c47-aa1d-469c-8e99-7e655f643da4"
9,"The Shrine's Trial",243857,True,True,"","0e0df385-a2de-428c-ad6e-7b12097857d5","https://image-assets.m.nintendo.com/73c0678a-5906-48a0-92c0-2d825aeabfd5"
10,"Improving the Sheikah Slate",9816,False,False,"","1c13252c-5930-4192-9491-df48fd088495","https://image-assets.m.nintendo.com/fe93d2c4-778e-47bd-bf6c-a0d0100947da"
11,"Puzzle Solved",2208,False,False,"","7deb5d9f-441a-4efb-a56b-2ef591aa24c6","https://image-assets.m.nintendo.com/11f6d964-b95f-4412-ad85-1190d26313f9"
12,"Battle (Shrine) - Original Soundtrack Ver.",104381,False,True,"战斗","dee46648-18f5-408a-8ca2-8c05effd8387","https://image-assets.m.nintendo.com/eb7d7b57-d6a6-406a-82df-00c73382bf87"
13,"Important Item Acquired",5165,False,False,"","fa061ac9-3c40-4b4b-ae28-0dfa227f25dc","https://image-assets.m.nintendo.com/ddf74ce2-1376-45d4-b101-125d6744f320"
14,"The Great Plateau",141521,True,True,"原野","b2ff7945-5af7-46c0-aa70-ae5134a1c0dd","https://image-assets.m.nintendo.com/90c2b143-adc0-40ae-b3b7-40565c18c5b5"
15,"Solving a Korok Puzzle",2648,False,False,"","b7acf86b-c550-49d0-910f-d03c5a23a2a1","https://image-assets.m.nintendo.com/5f4fefcb-3528-48fe-aa26-115a86739e32"
16,"A Korok Appears",3732,False,False,"","3b923d9d-a543-4fba-b30f-d9f7ab16ee7a","https://image-assets.m.nintendo.com/86d95156-13c2-471b-ae44-116dd11882a5"
17,"Item Acquired",1962,False,False,"","5c1b9119-074e-4081-8bbf-2b2f00649d4f","https://image-assets.m.nintendo.com/3de4932a-a4e5-4f9c-a98d-9415b069b90f"
18,"In the Guardian's Sights",49947,True,True,"战斗","23213469-6dba-4f86-9d61-bd7033036704","https://image-assets.m.nintendo.com/0f6d0a95-9d77-466b-b7e9-d4c3b2b3a156"
19,"The Temple of Time",118351,True,True,"原野","7ec23b15-dd8c-4052-b53b-806c1105950d","https://image-assets.m.nintendo.com/6dc7c824-2ca7-4e31-a714-4e844603983e"
20,"The Old Man's Secret",54227,False,False,"海拉鲁的人们","8455d0a9-ee0a-4e4c-986b-a4642b49f198","https://image-assets.m.nintendo.com/a5a48687-021d-426e-8def-b13a66bd9235"
21,"One Hundred Years Ago",211738,False,False,"海拉鲁的人们","9bc532eb-9269-4bbc-9424-3d18c8757a6e","https://image-assets.m.nintendo.com/85c515f6-ce13-464c-a742-378fb2c70771"
22,"King Rhoam's Plea",131543,False,True,"海拉鲁的人们","b484d466-42e5-42e9-89db-f1256a48bf25","https://image-assets.m.nintendo.com/bafd9a0b-fbc6-4ed5-b489-2bf1743b930e"
23,"Making Landfall",11031,False,False,"","176facf8-34d6-4205-9a49-12d847082271","https://image-assets.m.nintendo.com/c10d761b-b128-4e35-b053-babdfa4b327e"
24,"Overworld (Day)",163600,False,True,"原野","9b9b9afc-1aef-4d03-873c-c121e3b67e29","https://image-assets.m.nintendo.com/c7dca990-0546-492f-9d62-0bf1b086c5fe"
25,"New Location",4991,False,False,"","3df634fd-2190-46d1-9caf-5cb77a741a4f","https://image-assets.m.nintendo.com/4be60869-b958-471d-8b6a-d5cfe6bd281b"
26,"Overworld (Battle) - Original Soundtrack Ver.",116524,False,True,"战斗","90c2b323-83b5-45dc-8ff5-5978d9e2941e","https://image-assets.m.nintendo.com/db307895-35d3-4101-ac79-0615c04a43b6"
27,"Game Over",5970,False,False,"","f20b6dc6-0e1b-44a8-82a4-27653273239d","https://image-assets.m.nintendo.com/715abd53-0227-41cc-ac62-33a23e6a8bb3"
28,"Sheikah Tower Activation",14559,False,True,"","16ed3b38-fde3-4d4d-8c53-687c9cdd69c9","https://image-assets.m.nintendo.com/d2a3fd89-aaae-4601-850d-f1cd9d7f6b8c"
29,"Galloping (Day)",111906,False,True,"原野","b54b5b2a-e731-4c88-bd41-c3bc5a8abb8e","https://image-assets.m.nintendo.com/ab50f79b-0a9a-4b70-a809-33b39cab857c"
30,"Stone Talus Battle",115137,False,True,"战斗","20bf9335-befa-407c-9db5-f2e9ec3120ff","https://image-assets.m.nintendo.com/3e4d7e69-a60e-4286-9a2f-95a0fe4d7592"
31,"Kakariko Village",394081,False,True,"原野","785dbfe8-3ae0-4d21-8bca-d06075e8ce73","https://image-assets.m.nintendo.com/d0b270b5-8ed9-484b-9b2b-01046e1b0405"
32,"Impa Speaks",100690,True,False,"海拉鲁的人们","1fdcb68a-b598-46c2-8a23-984cc784b664","https://image-assets.m.nintendo.com/bc63c6d0-dc23-4841-97e2-5e7bfecc36fd"
33,"A Legendary Tale",195464,False,False,"海拉鲁的人们","2b9d517f-6841-4b7f-8693-be6f38ebbd42","https://image-assets.m.nintendo.com/d74e3023-0a36-4c63-91d0-431c8ac93026"
34,"Culinary Disaster",4700,False,False,"","36883a7c-e5e9-4c4f-b8da-fee3d8a5b373","https://image-assets.m.nintendo.com/24b678b4-5794-48bb-9bc1-6a8549ec67d7"
35,"Culinary Triumph",4831,False,False,"","34556d25-f1e3-466f-9ebd-e338bbed7e6f","https://image-assets.m.nintendo.com/7021d565-9a60-4cb3-9b14-81042b138634"
36,"Culinary Perfection",5388,False,False,"","fca462d0-b613-4304-9651-c395d3fa88db","https://image-assets.m.nintendo.com/d1fb1d96-2281-45fb-b12d-5b5b884434aa"
