index,name,duration,is_loop,is_best,playlist,playlist_2,playlist_3,id,thumbnail_url
1,"Ready to Go!",153219,True,True,"","标题画面","Nintendo Music精选集","702b5df1-980b-408a-bf73-aa01a2a3d224","https://image-assets.m.nintendo.com/94e70954-b633-436c-8051-785d8783e497"
2,"Kirby and the Mysterious Vortex",74923,False,False,"","","","d5681926-9141-437f-ae48-046a6e88476c","https://image-assets.m.nintendo.com/3a8919ee-113e-440a-a929-ccffaeef59ca"
3,"Point of Arrival",37275,False,False,"关卡","","","2d324c93-48c3-4826-aa9a-63a0073a56d9","https://image-assets.m.nintendo.com/f22b4d9e-66d0-4b96-92ab-ffd86eec2151"
4,"Running Through the New World",285453,True,True,"关卡","冒险的开始|打起精神来|聆听春日|跑步","Nintendo Music精选|Nintendo Music精选集|Nintendo Switch精选|推荐“更改时长”","e298f61b-47e1-475a-97c6-8fb5534eb522","https://image-assets.m.nintendo.com/0eef9a62-f991-4f06-92ac-cfe916ff0d81"
5,"Mysterious Mouthful Mode",38520,False,True,"","","Nintendo Music精选集","d6341433-60c1-4e5b-85b6-97cdfb99696b","https://image-assets.m.nintendo.com/fc05f18b-5263-4058-8692-57ab4010511e"
6,"Welcome to the New World!",87988,False,True,"","","Nintendo Music精选集","220e6efe-fdc6-45a5-a7e3-a27a153827f1","https://image-assets.m.nintendo.com/61a22fee-8beb-4f9d-ae67-cd07ccb1131e"
7,"The Waddle Dees Are Here Too?!",19846,False,False,"瓦豆鲁迪","","","26c0e6c2-71ca-4089-9e60-e352da726cbf","https://image-assets.m.nintendo.com/2d6d1b39-c7a0-4915-8d97-c6ffc750ff14"
8,"Invasion of the Destroyed Town",44189,False,False,"瓦豆鲁迪|瓦豆鲁迪小镇","","","c1ebf316-d9d0-411f-a1c8-b3c39149a467","https://image-assets.m.nintendo.com/189e0a27-4c4b-427f-b0dc-aeefc53f8b4e"
9,"Plundering Beast Battle",126040,True,True,"魔王之战","","Nintendo Music精选集","d7eeffdb-2558-495a-856e-87d8f3e7d199","https://image-assets.m.nintendo.com/da0b1f1b-de4a-4cbe-ad81-6fb9071b44e3"
10,"Waddle Dee Town",154991,True,True,"瓦豆鲁迪|瓦豆鲁迪小镇","步行|聆听春日","Nintendo Music精选集","240a2586-280e-4eb5-b92d-fd9b5eb20b08","https://image-assets.m.nintendo.com/a9eda89e-37ba-4fd5-82d9-6b12ee3af453"
11,"Natural Plains",139113,True,True,"世界地图","放松一下|聆听春日","Nintendo Music精选集","e33338d4-eda1-4d0f-89a1-74cce2c8b2a8","https://image-assets.m.nintendo.com/2ce7609b-ca6b-4550-b315-b978552d1a50"
12,"Through the Tunnel",200980,True,True,"关卡","","Nintendo Music精选集","5a4779e3-6913-49ed-a808-6f7b21143d28","https://image-assets.m.nintendo.com/2ce6cc95-0f71-4e26-9160-1b12bb13cc36"
13,"Kirby Dance (Short)",4708,False,False,"瓦豆鲁迪","","","a9bf68eb-46a2-4c72-9739-a5111fcfd545","https://image-assets.m.nintendo.com/f8c7ddc4-f7c3-46cf-83b6-979138e854da"
14,"Wild Results",129696,True,False,"瓦豆鲁迪","打起精神来","","1fa676a2-4f69-43c4-91a7-be5eb9dff15e","https://image-assets.m.nintendo.com/b40275d3-99d3-45ba-81f7-79522219235c"
