index,name,duration,is_loop,is_best,playlist,playlist_2,playlist_3,id,thumbnail_url
1,"Twinkle☆Stars",130581,True,True,"","标题画面","Nintendo Music精选|Nintendo Music精选集|Nintendo Switch精选","4b30dc31-f878-4d88-b61e-50680f584067","https://image-assets.m.nintendo.com/93ebb3f9-e982-4867-aed3-4d91ee3ffcbe"
2,"Let's Be Friends♡",44009,False,True,"","大家一起来","Nintendo Music精选集","65acd4c0-25d8-4161-a28f-af8684d7c508","https://image-assets.m.nintendo.com/42d380c8-0abd-4218-8885-4fa604334275"
3,"Select File",130021,True,False,"","步行","","94b6a2ad-5506-4fa1-9e83-96ae69696367","https://image-assets.m.nintendo.com/2684ac86-931c-48a3-8924-2013b0f2c1f2"
4,"A Rude Awakening",86674,False,True,"","","Nintendo Music精选集","0c3bc85d-a984-4acd-b51f-8c902c3246c5","https://image-assets.m.nintendo.com/2299168c-e0c2-4af6-af35-fae1a2d45f94"
5,"World of Peace: Dream Land",74528,True,True,"","步行|聆听春日","Nintendo Music精选集","7d46dcc3-b55c-489e-bf47-86bea2ce0b1b","https://image-assets.m.nintendo.com/2dc8ca27-46c2-4cee-b4f8-6b9d0564113f"
6,"Green Gardens",305712,True,True,"","冒险的开始|打起精神来|聆听春日","Nintendo Music精选|Nintendo Music精选集|Nintendo Switch精选","8101d70e-e3a9-494f-86ee-5d9cb87cd244","https://image-assets.m.nintendo.com/85c2a8ed-7eb9-41d6-8b12-6ba8a8e7aadb"
7,"Donut Dome",114474,True,True,"","","Nintendo Music精选集","7bf60c58-b5c5-4185-bff6-468dd4968f5e","https://image-assets.m.nintendo.com/d66201eb-f4ba-45c9-8f5a-8e9fde14cf5e"
8,"Honey Hill",107316,True,True,"","步行|聆听春日","Nintendo Music精选集","6c49bd8f-64f3-4da1-a92e-2d749be17964","https://image-assets.m.nintendo.com/370290d1-630b-41a7-938f-e3847f3e32c8"
9,"Helpful Advice",2068,False,False,"","","","63430bcb-d054-49f8-a667-5ec20f104634","https://image-assets.m.nintendo.com/5c191dd8-5811-43ea-ab54-c83df45d19ea"
10,"Friend Puzzle Solving",79462,True,True,"","","Nintendo Music精选集","3dc6bd6b-7698-42c6-a09d-8ff1d223fd04","https://image-assets.m.nintendo.com/2a5a5790-5fef-4029-8184-c10766fbeaab"
11,"Invincible",30986,True,True,"","","Nintendo Music精选集","6847f838-6b8f-43df-9bb9-efdd04c1a93a","https://image-assets.m.nintendo.com/5ef743ad-a979-4c50-8331-ada8b3614e25"
12,"Rare Picture Piece",3523,False,False,"","","","e3adbcc5-b275-47b3-8d9f-28b194f2e643","https://image-assets.m.nintendo.com/2bce188d-2c55-411d-bac6-50ed115894a8"
13,"A Battle of Friends and Bonds",130351,True,True,"The 终极抉择|异次元空间英雄同盟","打起精神来","Nintendo Music精选集","0dfa051d-323e-493a-aba9-8c8ebf505531","https://image-assets.m.nintendo.com/8d43785a-bf9a-438f-a37b-874137c19062"
14,"Green Greens (Kirby's Dream Land)",61395,True,False,"","","","66079d24-0d2a-4e8b-bd50-2a7c3d65a720","https://image-assets.m.nintendo.com/1086f136-e727-4f99-b8d5-88576cf2456e"
15,"Plaza (Kirby's Blowout Blast)",37684,True,False,"","","","5df7bf2f-f6d6-4dec-97e6-1767e0882779","https://image-assets.m.nintendo.com/2393fe6d-445d-41e8-a77e-1778644b6d12"
16,"Shooting (Kirby's Dream Land)",34024,True,False,"","","","f79f3b53-4eb9-4a2b-80a0-5550990fcab6","https://image-assets.m.nintendo.com/34112e5e-2dc5-45ef-8d13-d30836d44e38"
17,"Boss Theme (Kirby's Blowout Blast)",46119,True,False,"","","","e4a6554d-f1e6-42f6-9bb5-a346d46e8660","https://image-assets.m.nintendo.com/bde8662f-9995-4499-acc2-e0c4dda8cab6"
18,"For the Brave",134408,True,True,"The 终极抉择|帝帝帝大王","","Nintendo Music精选集","9f749d5c-09fa-46bf-9da8-18876df1bc90","https://image-assets.m.nintendo.com/ba502f70-1c6c-4b62-80b1-9d2645f597ec"
19,"Macho of Dedede",186014,True,True,"The 终极抉择|帝帝帝大王|异次元空间英雄同盟","","Nintendo Music精选集","8303b784-3fd2-4a14-a7c6-1a5656b8ae9a","https://image-assets.m.nintendo.com/f386df33-c0c3-47c6-ac63-e3d4a9fbcd2b"
20,"Kirby Dance (Long)",8186,False,True,"异次元空间英雄同盟","Win!","Nintendo Music精选集","e6b71c87-f1d0-4623-bc59-bf7cf92888c6","https://image-assets.m.nintendo.com/eaf20c47-e8cd-4ec5-a613-ee999dcb8a23"
21,"Sudden Happy Ending",125900,True,True,"","","Nintendo Music精选集","e9671822-b58b-499b-a8d1-df41ae5b4519","https://image-assets.m.nintendo.com/a0bbc773-ed96-4439-afa8-b6da8fd012f4"
22,"Ending Ad Bumper!",4693,False,False,"","","","5d68bcf0-e414-47dd-bc05-109b632f9791","https://image-assets.m.nintendo.com/43762650-6e74-44ea-a1bb-7bfc563a50c4"
23,"Secret Area: HAL Room (Dedede's Drum Dash Deluxe)",99358,True,False,"帝帝帝大王","","","d3af3cda-2c5a-4f80-92b2-b617b0e3171f","https://image-assets.m.nintendo.com/869f1672-0280-441a-a05b-57f4c33434f3"
24,"World of Miracles: Planet Popstar",69534,True,True,"","","Nintendo Music精选集","5e546d8e-1a95-4508-82fc-e82802be5144","https://image-assets.m.nintendo.com/9e90662e-4d1f-4b96-a491-a0d6a8748468"
25,"Friendly Field",172055,True,True,"The 终极抉择","聆听秋日|跑步","Nintendo Music精选集","ac882f00-bad5-43e0-949a-5c2b61db354f","https://image-assets.m.nintendo.com/b9cf07f8-451f-4321-bb96-128f4f41a324"
26,"Reef Resort",186515,True,True,"","聆听夏日|跑步","Nintendo Music精选集","8d63b5a5-6765-434d-89c9-36da02fd8199","https://image-assets.m.nintendo.com/2d30654a-8661-45c8-9d29-742e6ddedc70"
27,"Echo's Edge",206465,True,True,"","聆听冬日","Nintendo Music精选集","10ac4112-051b-4120-84af-43661491d7c7","https://image-assets.m.nintendo.com/ff95b391-0744-41ff-8a0c-d60d233dc815"
28,"Nature's Navel",205544,True,True,"The 终极抉择","","Nintendo Music精选集","24902b66-b16b-47e6-a9b2-2cb5a5ad52bb","https://image-assets.m.nintendo.com/2fd3ace3-f270-4b22-9aae-87de073ab392"
