index,name,duration,is_loop,is_best,playlist,playlist_2,playlist_3,id,thumbnail_url
1,"Title Screen",161932,True,True,"","标题画面","Nintendo Music精选|Nintendo Music精选集|Nintendo Switch精选|马力欧精选","7477b531-294a-4fc3-8736-881e66596356","https://image-assets.m.nintendo.com/51fe448e-32bf-41b4-94f2-d6f9c5351d13"
2,"Prologue: The Flower Kingdom",62835,False,False,"","聆听春日","","5758578b-d1ce-4d90-81dd-923b21933793","https://image-assets.m.nintendo.com/2aa15eed-6c0a-440d-a82c-7d70b38ed956"
3,"Prologue: Creation of Castle Bowser",80952,False,False,"酷霸","","","6e098a33-e584-4243-8742-e70a0794dd6a","https://image-assets.m.nintendo.com/e2ff3a92-4804-4cc7-884d-b3ac6dc668d2"
4,"Prologue: Poplin Prisoners",21984,False,False,"","","","3199925d-df29-4403-a7a5-8a91c43142eb","https://image-assets.m.nintendo.com/91bc4e22-d19b-4e3f-8572-5f4f25d99d02"
5,"Prologue: Adventure Awaits!",42401,False,False,"","","","8974bac7-fda0-4e12-8683-a08f31fa990e","https://image-assets.m.nintendo.com/7553bdb4-57e5-416c-9b26-e14ad50620db"
6,"World Theme: Pipe-Rock Plateau",174523,True,True,"世界","聆听春日","Nintendo Music精选集|推荐“更改时长”","99cc2132-3774-47f0-b7ee-b296ba9aa64c","https://image-assets.m.nintendo.com/5264f337-b4a7-4c7e-8491-cb7e6b83fa3e"
7,"Grassland Theme",158615,True,True,"关卡","冒险的开始","Nintendo Music精选|Nintendo Music精选集|Nintendo Switch精选|推荐“更改时长”|马力欧精选","73f132bb-c870-4300-b572-1703ac4722de","https://image-assets.m.nintendo.com/2ead940f-5893-4c43-a749-13896aa38779"
8,"Bendy-Boing Wonder",82285,True,True,"惊奇","跑步","Nintendo Music精选|Nintendo Music精选集|Nintendo Switch精选|马力欧精选","e40002d8-b7e7-43b3-9f04-44a77297c7e2","https://image-assets.m.nintendo.com/acca8737-a5d7-4041-80a8-069b83a5c945"
9,"Course Clear!",10377,False,False,"","","","ec1fb279-0c57-4d4a-8652-65a5b3a7bdb5","https://image-assets.m.nintendo.com/9ad2506c-e520-49c9-8d86-407708f20af7"
10,"Forest Theme",141294,True,False,"关卡","","","48b453e9-3186-4d87-881a-098453815f93","https://image-assets.m.nintendo.com/2304fce2-6e72-4aa6-a9da-47b9347f8ba0"
11,"Piranha Plants on Parade",49299,False,True,"吞食花|惊奇|音乐关卡","与歌声同行|大家一起来","Nintendo Music精选集","8ac235f3-fe36-4b86-be00-475790914c0c","https://image-assets.m.nintendo.com/c7b0b499-4432-44be-8e68-ebb1307cf68b"
12,"Savanna Theme",148695,True,False,"关卡","步行","","ec44e569-0d1e-4d99-9967-511864daaab6","https://image-assets.m.nintendo.com/75c17c31-09ad-4128-aa02-c6169f9f608e"
13,"Stompy-Stampede Wonder",95595,True,False,"惊奇","聆听秋日","","9efaf014-0010-4189-ae09-0890bdfdd9c5","https://image-assets.m.nintendo.com/c8fc922d-f664-4576-83fb-7a99bede4c98"
14,"Spikey Dance Number",42406,False,False,"惊奇|音乐关卡","大家一起来","","08897aa0-82ef-4efa-9de1-f657190e6827","https://image-assets.m.nintendo.com/6998ff1b-e501-48b1-acd9-fd9e797fb6b0"
15,"Flippy-Float Wonder",54267,True,False,"惊奇","晚安","","693891b5-8005-4313-acb7-76a749d3792c","https://image-assets.m.nintendo.com/927c9b32-9585-4f22-bdfc-7145b807ccfb"
16,"Switching On",25545,True,False,"","","","a5894c29-156a-4dc2-b22e-164263363dc8","https://image-assets.m.nintendo.com/5ed6974e-a697-4db2-b4e4-cf4dc991cb32"
17,"Wiggler Race: On Your Mark...",6156,False,False,"花之子","","","249a14f7-4799-4e81-8562-24547631f903","https://image-assets.m.nintendo.com/6297ff12-7189-46fc-8178-199b8be9cce9"
18,"Wiggler Race!",124085,True,False,"关卡|花之子","打起精神来|跑步","","20b0b490-a250-4529-ac10-d4f70051314a","https://image-assets.m.nintendo.com/e838aeb7-6f0a-4b78-b050-29dfefaa01a8"
