index,name,duration,is_loop,is_best,playlist,playlist_other,id,thumbnail_url
1,"Title Theme",310212,True,True,"","標題畫面","7edee6c1-5bab-4900-a9e7-447eeeafa8da","https://image-assets.m.nintendo.com/80cab4b7-7149-46d2-8771-4512cd3e603e"
2,"Checking Brain Age for the First Time",315472,True,False,"","","ace007f3-8c6c-4a06-9006-e5e6f59bc6e1","https://image-assets.m.nintendo.com/45a08c9c-c036-4919-b25c-207c60f63c14"
3,"Menu Theme",272479,True,True,"","打起精神來","589f817c-5ccc-4509-846d-b9850f5cbb69","https://image-assets.m.nintendo.com/7c994c76-e3b2-459f-a93a-a75426935225"
4,"Start",4620,False,True,"","","dd69400a-c9c8-4dda-89f0-f06aa9846608","https://image-assets.m.nintendo.com/aab77b88-2dee-4edc-a8f3-6ef2a32efc8c"
5,"Complete",2413,False,True,"","","70fc24d4-a0c4-4370-ad01-fe4df6f9177d","https://image-assets.m.nintendo.com/d151bc19-7584-4fce-bf6f-15bccd169c6a"
6,"Results",188417,True,True,"","","90ffdf9f-cc7b-4aac-8c8a-47f0af1c0de1","https://image-assets.m.nintendo.com/b85ef59f-eaed-4bd7-bb20-77397c069b9a"
7,"Brain Age: Very Tired",3742,False,False,"","","0589aa28-405c-4525-b334-a9d89e600ad3","https://image-assets.m.nintendo.com/27897491-685c-4852-8020-bd977b39f333"
8,"Brain Age: A Little Tired",2745,False,False,"","","25cd86a4-4624-4cd2-9cf2-3f4d6c11377d","https://image-assets.m.nintendo.com/e013e314-2032-407a-ad99-7b6f7aaaaa69"
9,"Brain Age: Fit for Its Age",3449,False,False,"","","7a5a79fa-eda0-42fe-92c7-1a1c3b67f727","https://image-assets.m.nintendo.com/86f8b719-23fc-45d8-aa5e-2276befaab07"
10,"Brain Age: Fairly Young",3639,False,False,"","","edeba13c-38ea-4901-877b-3bd0e4198af5","https://image-assets.m.nintendo.com/e28d6b76-9fff-429e-b368-ac6db4edaefa"
11,"Brain Age: Ideal Age",3625,False,True,"","","f190fab2-5378-4ceb-844b-ac8dc035ae49","https://image-assets.m.nintendo.com/d54dda16-28ee-46d6-b2d4-8019c7a2f9e6"
12,"Checking Answers",391094,True,True,"","","141ce2fe-ba40-4c89-8c87-f4c0bd37495c","https://image-assets.m.nintendo.com/fa105647-ba25-4b50-9d27-1b64728748bf"
13,"Other Options (Settings, etc.)",315476,True,False,"","","517b6a7a-6a6c-494c-8019-e17f96108c5e","https://image-assets.m.nintendo.com/6e4120dc-210e-44e8-9638-a9ed59756ccd"
14,"Staff Credits",326905,True,True,"","工作人員名單|鬆一口氣","914a527c-c9ef-4f64-ae3c-7bd422a8516f","https://image-assets.m.nintendo.com/4f852038-2bf2-4fcc-98a5-e64873d9f340"
