index,name,duration,is_loop,is_best,playlist,playlist_other,id,thumbnail_url
1,"Welcome To Dream Land",40802,True,True,"","標題畫面","768b8a25-5174-4340-9cce-dbb571efe571","https://image-assets.m.nintendo.com/a7bfe642-a0d6-4258-8f33-e3be8cd41fee"
2,"Green Greens",72357,True,True,"","開始冒險","d4ecd7ea-621d-4e1b-9a2f-d8c736959949","https://image-assets.m.nintendo.com/1206da25-3b2e-46e0-b69b-f7e5a373d7b6"
3,"Boss Theme",49912,True,True,"","","6efa8dd0-84e4-486c-a2ce-17cbf3b6419b","https://image-assets.m.nintendo.com/08fb09d4-73b8-41a4-a00b-b3d14876b536"
4,"Sparkling Stars",24694,True,False,"","","938d6082-7d1c-4160-b139-0e7f5a102d12","https://image-assets.m.nintendo.com/bd509245-a9f7-40ce-a57a-09960b53058e"
5,"Kirby Dance",6275,False,True,"","Win!","c52fbcc8-e7d2-4ee4-b6d9-53e70ba635a0","https://image-assets.m.nintendo.com/7f403d65-0b7a-4ba4-85f9-63d33e745777"
6,"Castle Lololo",73150,True,True,"","","c7ace98f-cb1a-4e84-b305-ea78cbbd77e3","https://image-assets.m.nintendo.com/6d5e8635-84a2-4412-a2fe-18e51a8c50ab"
7,"Invincible",26385,True,True,"","","7d841b2f-f8f6-4191-aad0-0b1ad295a22f","https://image-assets.m.nintendo.com/55b5b21d-6752-47fb-8486-9d71a44934a5"
8,"Float Islands",82595,True,True,"","","b86f178d-7bbe-40c7-89ba-c6e09f854c47","https://image-assets.m.nintendo.com/3e7db8a6-3dae-48bc-9c16-d3a26b2e9685"
9,"Shooting",41876,True,True,"","","d2640c2c-c6ff-47b3-afe0-6e4066f18502","https://image-assets.m.nintendo.com/ecc3dcf7-b8e4-4d00-a514-a6ba164a8744"
10,"Bubbly Clouds",94648,True,True,"","","027e2887-2263-4ff9-9e7a-191986560583","https://image-assets.m.nintendo.com/1d160371-6bcc-4a8b-9e29-a1f432c45cda"
11,"Defeat",2861,False,False,"","","488e0c78-37bc-4aca-9cff-c535974e3b46","https://image-assets.m.nintendo.com/380cb2e3-6b45-4004-8575-181c248c7ad8"
12,"Game Over",5423,False,False,"","","1096c313-c3a7-4ae6-b84f-9e20fab0af7e","https://image-assets.m.nintendo.com/b53ea132-8bde-473f-bcc0-fda39627d1f6"
13,"Boss Game Select",30086,True,False,"","","56c31270-3b86-42c6-a0d4-d118a5f65234","https://image-assets.m.nintendo.com/34d60e5f-8b49-483a-9f0a-796214d3534a"
14,"Mt. DeDeDe",63307,True,True,"帝帝帝大王","最後戰鬥","5dc1d781-d66a-4052-b827-2976460785eb","https://image-assets.m.nintendo.com/3e4fff17-b46d-4a82-b750-516bb76077fe"
15,"A New Wind for Tomorrow",95450,True,True,"","工作人員名單","dce2dfd1-3b78-42e0-802e-a9f730ba70f4","https://image-assets.m.nintendo.com/69ec040e-4b1b-4384-90a1-01325fe8ee0d"
