index,name,duration,is_loop,is_best,playlist,playlist_2,playlist_3,id,thumbnail_url
1,"Title Theme",24454,False,True,"","標題畫面","Nintendo Music推薦集","e048fb04-a54d-41f6-a122-a2856209b84b","https://image-assets.m.nintendo.com/c61c698b-2219-427a-bb76-004ee422dbdb"
2,"File Select",48745,True,True,"","","Nintendo Music推薦集","3d444b85-e8ea-4ab2-832b-53d7f8ee4c41","https://image-assets.m.nintendo.com/1bd6f4e1-6053-4ba6-9f91-6ce76fd130ac"
3,"Opening Scene",49511,False,True,"路易吉","開始冒險","Nintendo Music推薦集|Nintendo Music精選","069f4592-3489-4410-8e27-4e6af81b00fc","https://image-assets.m.nintendo.com/2396660b-ba00-4fd8-8979-1a4d76e5a5d2"
4,"Foyer",14814,False,False,"","","","341d22bd-3024-4c5c-a368-7b3fb35ffb15","https://image-assets.m.nintendo.com/59edb57e-01de-45d2-a0fe-6757522b79ea"
5,"Signs of Ghosts",24252,False,False,"鬼怪們","","","58522ee3-02ef-49b8-886d-9ddf9de4fe84","https://image-assets.m.nintendo.com/bb16ee82-0ecc-4b4e-b2e4-4aee287ecc76"
6,"Professor E. Gadd and the Poltergust 3000",65318,False,False,"哎唷・喂博士","","","4933b7d7-f37d-4687-a686-4b2cd7c194a2","https://image-assets.m.nintendo.com/74768872-586c-4e99-8d54-a387a49d2560"
7,"Professor E. Gadd's Lab",93494,True,True,"哎唷・喂博士|路易吉","","Nintendo Music推薦集|Nintendo Music精選|「更改長度」推薦","ac76ebe5-4ace-4af4-b372-823602e54de0","https://image-assets.m.nintendo.com/a0e50aa2-0736-4726-917f-9e59f0e8e5a8"
8,"Training Room: First Half",34871,False,False,"","","","2a1cc5da-4978-4c5d-8fe1-1dc368293093","https://image-assets.m.nintendo.com/105a2d6d-9722-4a95-aac1-578b769cb68f"
9,"Training Room: Second Half",153110,True,False,"","","「更改長度」推薦","d95e079a-27c7-4582-b48f-c24ed2d19abd","https://image-assets.m.nintendo.com/2ccc45ac-9b5e-4fda-877f-c7970587a5bc"
10,"Training Room: Results",22685,False,False,"","","","58bde79f-3162-4ac9-91af-cf14a2fce528","https://image-assets.m.nintendo.com/27695742-1224-43ec-993f-e24e2c76f181"
11,"Gallery",81289,True,True,"","","Nintendo Music推薦集","759e7c6a-f84b-4293-81d1-eb497e5a48cc","https://image-assets.m.nintendo.com/8e521711-c9bd-4e5c-8449-072d0621fce0"
12,"To the Mansion",18205,False,False,"","","","7c624d6f-f57f-46cf-a6a0-c5c468bcf1bc","https://image-assets.m.nintendo.com/5b1a5c2a-04e9-4d84-8417-e957b8aeb923"
13,"There, There, Toad",66839,True,True,"奇諾比奧","","Nintendo Music推薦集","12f09984-4240-4db4-935b-9b7b3b3a195e","https://image-assets.m.nintendo.com/1bc647ef-c9ea-4cfd-b3a2-cbe8627d7176"
14,"It's OK Now, Toad",3675,False,False,"奇諾比奧","","","a91b136f-7eee-4da5-aeb2-c0589876d066","https://image-assets.m.nintendo.com/5eceda2c-4d3f-4024-b9d2-fa0390a5f608"
15,"Warping",8725,False,False,"","","","0c07099d-feea-4c6f-a61b-069feab8a32d","https://image-assets.m.nintendo.com/68416cee-7d24-4b4e-a2ed-a85a353d173e"
16,"Title Theme (Humming)",118608,True,True,"路易吉","","Nintendo Music推薦集|Nintendo Music精選|「更改長度」推薦","fe90ccfc-c862-4059-a8e8-a3f33bdcc8fc","https://image-assets.m.nintendo.com/6e9bcb6a-0f0a-4a28-8cfa-6794cd7f1202"
17,"When the Candles Go Out",30476,False,False,"鬼怪們","","","1434379e-16fd-4364-8126-9593a2f74106","https://image-assets.m.nintendo.com/63f8b117-e68e-4f84-882e-d9bfe1db911b"
18,"Suck Up the Ghosts!",46005,False,False,"鬼怪們","","","9e4ccde2-9c22-40a2-8108-0b450a8ae84d","https://image-assets.m.nintendo.com/f72435c7-51b9-4b6c-955e-c548537f2c68"
19,"Suck Up More Ghosts!",41231,False,False,"鬼怪們","","","d7980127-3169-445c-86d8-24575722f970","https://image-assets.m.nintendo.com/1e37fab5-fb2e-43cb-9542-a2b99859ef98"
20,"Item Appears",2829,False,False,"","","","131ff1dc-0d32-48ca-8dfd-492c7d915536","https://image-assets.m.nintendo.com/b2b8cb87-91aa-4580-8682-a0c2a7fde721"
21,"Item Acquired",3193,False,False,"","","","8d5b03a5-a804-4d1b-85ab-43ab89ff05bd","https://image-assets.m.nintendo.com/2ae82c44-c0eb-4037-8086-0b5e84bf6ff8"
