index,name,duration,is_loop,is_best,playlist,playlist_2,playlist_3,id,thumbnail_url
1,"Opening (Destroyed Laboratory)",24706,False,True,"密特羅德","","Nintendo Music推薦集","771e54b2-add9-4e9c-8475-b8094632a6a9","https://image-assets.m.nintendo.com/eb4f9bcb-fb48-4a39-8e4c-622cc9a9e9f3"
2,"Title Screen",81297,True,True,"密特羅德","標題畫面","Nintendo Music推薦集","122d732c-2374-414b-9b35-602dddd4d681","https://image-assets.m.nintendo.com/1b298bec-bb60-44d6-92e0-5ae4f819ad5b"
3,"Theme of Super Metroid",207500,True,True,"","","Nintendo Music推薦集|Nintendo Music精選|Super NES精選","5f639923-f559-4fbf-9b90-e0638ef6df4b","https://image-assets.m.nintendo.com/d21417f3-b139-48f2-89ae-b11622997c04"
4,"Samus Aran Appears",6103,False,True,"","","Nintendo Music推薦集","55d25aad-a35d-4c82-b6eb-84d53de4b95f","https://image-assets.m.nintendo.com/95eb02de-08bf-4a3b-ad53-e5148a2a427e"
5,"Planet Zebes: Arriving at Crateria",167499,True,True,"行星澤貝斯","","Nintendo Music推薦集","971ee79f-f165-4876-83c4-849f15cc3e52","https://image-assets.m.nintendo.com/1e40c571-6e9e-4ce9-b8f0-688497ac8d07"
6,"Stillness",56660,True,False,"","","","5fb09f75-17b6-408e-bfca-5aa6c1685f7b","https://image-assets.m.nintendo.com/f3c0aca9-cd0c-4fb3-a153-9bb5a245f9db"
7,"Item Obtained",6298,False,True,"","","Nintendo Music推薦集","07c717f2-4acc-42ee-b7dd-83ded9a39949","https://image-assets.m.nintendo.com/6d3e562f-7e09-4570-a958-9feca4958c26"
8,"Crateria: Space Pirates Appear",222949,True,True,"行星澤貝斯","","Nintendo Music推薦集","f83e4208-500e-4e8e-9538-9db7038a71f3","https://image-assets.m.nintendo.com/29a6aab7-ebc3-44e0-8643-4d65b6b97078"
9,"Brinstar: Heavy Foliage Area",226571,True,True,"行星澤貝斯","開始冒險","Nintendo Music推薦集","f5960629-d317-4bf6-a04c-1a501e9ec5b6","https://image-assets.m.nintendo.com/9ab1757c-fe7f-4df6-8ab2-8a97c1b09b17"
10,"Mini-Boss Battle BGM (Spore Spawn / Botwoon)",138144,True,True,"戰鬥","","Nintendo Music推薦集","33d5dd00-c8f1-456e-9b81-fab0118947ee","https://image-assets.m.nintendo.com/ed688b18-7305-403f-a7ec-e563b6d2fa10"
11,"Brinstar: Red-Soil Area",234203,True,True,"行星澤貝斯","","Nintendo Music推薦集","174951d2-5142-4d29-970e-225135e279c8","https://image-assets.m.nintendo.com/9f81f50e-facd-4972-82b9-d15bcc760426"
12,"Boss Battle BGM (Kraid/Crocomire/Phantoon)",67128,True,True,"戰鬥","","Nintendo Music推薦集","af199e5d-e0d5-4bc4-af01-f7230f2db3a3","https://image-assets.m.nintendo.com/03885d70-d0d1-40c9-bd70-35cbdb554daa"
13,"Norfair: Hot Lava Area",146350,True,True,"行星澤貝斯","","Nintendo Music推薦集","aa601543-d702-4d70-8a45-2afcfc4bebf1","https://image-assets.m.nintendo.com/5c449042-2735-4c65-9e5e-b886ad4ec84c"
14,"Theme of Samus Aran, Space Warrior",225706,True,True,"行星澤貝斯","","Nintendo Music推薦集|Nintendo Music精選|Super NES精選","ebdf47bf-7e8a-4b69-8a8e-7dcb842ba7e0","https://image-assets.m.nintendo.com/11bad9ac-b456-4331-be0c-fe5ab9702c03"
15,"Wrecked Ship",279067,True,True,"行星澤貝斯","","Nintendo Music推薦集","bccba931-a4a0-4929-8944-98a475d85731","https://image-assets.m.nintendo.com/3ca091cb-0647-44c4-a11b-d26b5fa41543"
16,"Maridia: Rocky Underground Water Area",181685,True,True,"行星澤貝斯","","Nintendo Music推薦集","a0aa07d7-4ed3-4519-84ca-c4d18e5efcea","https://image-assets.m.nintendo.com/f350627d-3773-46c5-a1ab-e7267e029bff"
17,"Maridia: Quicksand Underground Water Area",242164,True,True,"行星澤貝斯","","Nintendo Music推薦集","6c6e9659-9695-47d5-be49-8ebc6e86f520","https://image-assets.m.nintendo.com/cb774338-6313-4db7-ab62-a9e8446f4be8"
