index,name,duration,is_loop,is_best,playlist,playlist_2,playlist_3,id,thumbnail_url
1,"The Beginning",81746,False,False,"阿爾宙斯","","","d66fa7d1-fd9e-46c0-ac54-13f32e7d32af","https://image-assets.m.nintendo.com/6fabe090-0dac-4d1c-b837-b94a9aab40f0"
2,"Transported",52013,False,True,"阿爾宙斯","","Nintendo Music推薦集","7c143d0c-4072-47e8-9f19-ea56361b48b3","https://image-assets.m.nintendo.com/2fb024cd-d288-47ef-a9d4-0c2373a643c9"
3,"Professor Laventon",125346,False,True,"銀河隊","","Nintendo Music推薦集","e3045add-4305-4b5f-b4a7-013a6e9acd58","https://image-assets.m.nintendo.com/3c45d669-73bf-4d19-b86a-80483c8a153b"
4,"A Meeting in Hisui",195320,False,True,"銀河隊","鬆一口氣","Nintendo Music推薦集","4bcdf2d6-fe1d-45a0-b1d7-39c518250b82","https://image-assets.m.nintendo.com/b2462539-4f65-4c49-b6da-bd2c541608a1"
5,"Jubilife Village",188426,False,True,"銀河隊","鬆一口氣","Nintendo Music推薦集|Nintendo Music精選|Nintendo Switch精選","ee1fc2b1-bdd9-4d32-a328-63e01c8f00c9","https://image-assets.m.nintendo.com/dffc6165-52f4-4cd9-8d27-b34028f5fe85"
6,"Thunder",11213,False,False,"王／女王","","","99d13f40-5e07-48c1-a060-53eeeaead4fe","https://image-assets.m.nintendo.com/74b2391e-1593-439a-8c28-27515849003a"
7,"Galaxy Hall",137293,False,True,"銀河隊","","Nintendo Music推薦集","71eec687-1a53-4b53-bffd-3fcfdf61a537","https://image-assets.m.nintendo.com/5f19170a-4cab-42ff-8478-58e97b682da5"
8,"Battle! (People of Hisui)",259773,False,True,"寶可夢對戰|銀河隊","","Nintendo Music推薦集","a2b33969-8afd-41da-b5dc-aafd0d98dfdd","https://image-assets.m.nintendo.com/c6dd5cd2-08ad-441a-9afa-52ba6fbb8b28"
9,"To a New Land",13706,False,False,"場地","","","e39cdc1c-b5ed-4768-a011-6ce9bdd655f2","https://image-assets.m.nintendo.com/0b01ec59-b6b3-45c4-93f1-391f5f5fdfe4"
10,"Obsidian Fieldlands 1–1",246946,False,True,"場地","開始冒險","Nintendo Music推薦集|Nintendo Music精選|Nintendo Switch精選","12a70bbe-ac81-4ff1-a080-ee0225295e0d","https://image-assets.m.nintendo.com/8e52e1f4-a652-445a-817e-77700c68dbcf"
11,"A Prelude to Battle",165613,False,False,"寶可夢對戰","","","92d24b01-f308-466c-bd66-69d3730ac655","https://image-assets.m.nintendo.com/f7c9e9bf-0813-424b-b837-276994ea4105"
12,"A Prelude to Battle 2",95693,False,False,"寶可夢對戰","","","a03f42e4-eac9-40e1-b40e-e8480d8e9338","https://image-assets.m.nintendo.com/a839f81d-3292-459a-95f2-d7541c59e10b"
13,"A Prelude to Battle 3",58586,False,False,"寶可夢對戰","","","5f9d233f-9a63-4b7b-8332-7db37d71c7f0","https://image-assets.m.nintendo.com/4bd97b42-d211-4ace-9146-e3b50ef77980"
14,"Battle! (Wild Pokémon)",165413,False,True,"寶可夢對戰","","Nintendo Music推薦集|Nintendo Music精選|Nintendo Switch精選","d557f7ec-14af-483f-9b0f-5179fe089cdf","https://image-assets.m.nintendo.com/7912fbc7-54ee-43ae-b40a-2cf1f7295be9"
15,"Survey Report (Day)",117293,False,True,"銀河隊","走路","Nintendo Music推薦集","c4c02047-8b17-4a86-8a68-ad5c413d8155","https://image-assets.m.nintendo.com/9d636667-b404-496a-9437-3d07adf2bcbe"
16,"Pokémon Healed",6186,False,False,"","","","84a0b325-c388-4ad3-81e9-cc29f19e1904","https://image-assets.m.nintendo.com/87c7e0c6-a40b-4bbe-8bd7-b3e1d8724750"
17,"Obsidian Fieldlands 2–1",188400,False,False,"場地","","","f66f7311-666c-4d1a-84ca-1468c33ee2b6","https://image-assets.m.nintendo.com/40a4bf32-6e3e-402f-b4d6-71efc30ffb00"
18,"A Prelude to Battle (Alpha Pokémon)",54666,False,True,"寶可夢對戰","","Nintendo Music推薦集","4cdcb625-b9d3-44fc-a5d8-51f4b01d4bc7","https://image-assets.m.nintendo.com/9719d402-f1f4-456b-a891-dae5a2643f5c"
19,"Battle! (Alpha Pokémon)",165640,False,True,"寶可夢對戰","","Nintendo Music推薦集","c4c12502-906b-4bc1-aa15-2c7c9b14b072","https://image-assets.m.nintendo.com/10d5e2cb-c3b8-4821-a575-0374ddbf6d81"
20,"Blacking Out",8120,False,False,"","","","afe8cbc1-8fb5-411e-a042-5595f7a42479","https://image-assets.m.nintendo.com/05d94c98-a5fe-4351-8ad2-42097d78c4d5"
21,"An Audience",64013,False,False,"王／女王","","","7b438883-f816-4e4b-8dae-3c39bf0672d5","https://image-assets.m.nintendo.com/9f0e1a33-4e83-4c9f-bb5d-af2c0c46d77f"
