index,name,duration,is_loop,is_best,playlist,playlist_2,playlist_3,id,thumbnail_url
1,"Opening / C-Side",27153,False,True,"C-Side|占地對戰","","Nintendo Music推薦集","4b8c51fc-58ea-4b1f-a842-15b2846989f7","https://image-assets.m.nintendo.com/94c4cabf-35d4-4608-ab56-82130b2eb4e8"
2,"Clickbait (Splash Sessions Demo) / C-Side",200769,True,False,"C-Side|蠻頹鎮","開始冒險","","ec200b00-1b0e-47df-aa51-59554970383b","https://image-assets.m.nintendo.com/fb52d3e1-e851-402c-af51-407f8834a7a7"
3,"Clickbait / C-Side",220375,True,True,"C-Side|占地對戰","占地對戰／祭典比賽|打起精神來","Nintendo Music推薦集|Nintendo Music精選|Nintendo Switch精選","032c05f4-53c0-4cab-ad87-a216451b8589","https://image-assets.m.nintendo.com/1c685663-1cde-42c8-b9a6-9529b03b5128"
4,"Headhammer / C-Side",155940,True,True,"C-Side|占地對戰","占地對戰／祭典比賽|隨歌聲躍動","Nintendo Music推薦集","cc490d8c-3ffe-4a56-aece-0d6c847179ea","https://image-assets.m.nintendo.com/2b2298f0-212b-4b54-ac44-3a1aaf7a7238"
5,"Triple Dip / C-Side",169953,True,True,"C-Side|占地對戰","占地對戰／祭典比賽","Nintendo Music推薦集","39515d9e-4453-4303-8953-9075458534d8","https://image-assets.m.nintendo.com/acfc734e-0f24-4703-81f8-88daf2ef7199"
6,"Paintscraper / C-Side",156938,True,True,"C-Side|占地對戰","占地對戰／祭典比賽","Nintendo Music推薦集","c3be3cff-623f-49ff-b9fa-6ef070d04712","https://image-assets.m.nintendo.com/be574556-39ad-4c88-8f3e-47834ae9c128"
7,"Splattack! / C-Side",225717,True,True,"C-Side|占地對戰","占地對戰／祭典比賽","Nintendo Music推薦集","64fe43cc-4611-4907-9be9-deb5ebc290ce","https://image-assets.m.nintendo.com/885d9dbf-4d89-4d1c-bf91-fb505e5cc0f1"
8,"Sea Me Now / Front Roe",170950,True,True,"Front Roe|占地對戰","占地對戰／祭典比賽|打起精神來|隨歌聲躍動","Nintendo Music推薦集","98698005-b1cc-4b79-aed2-f4dad42898cc","https://image-assets.m.nintendo.com/996aeae5-ab03-4881-a453-4bf424873db4"
9,"Sandy Side Up / Front Roe",164018,True,True,"Front Roe|占地對戰","占地對戰／祭典比賽|想在夏季聽|跑步","Nintendo Music推薦集","9279658c-b6f0-4bf3-8f11-53d90240ac4c","https://image-assets.m.nintendo.com/77739123-9160-4522-81b4-8b2364b5b2ac"
10,"Candy-Coated Rocks / Damp Socks feat. 腕兒姐妹",188984,True,True,"Damp Socks feat. 腕兒姐妹|占地對戰","占地對戰／祭典比賽|打起精神來","Nintendo Music推薦集","dab0e85a-5160-4205-a14b-c1aea9430982","https://image-assets.m.nintendo.com/cb83b162-03b0-4c3f-a91d-67b0d6f19c0a"
