index,name,duration,is_loop,is_best,playlist,playlist_2,playlist_3,id,thumbnail_url
1,"Paper Mario: The Origami King",280219,True,True,"","標題畫面","Nintendo Music推薦集|Nintendo Music精選|Nintendo Switch精選|瑪利歐精選","4f22240b-a698-4182-ae97-5c7e59cd99f3","https://image-assets.m.nintendo.com/6567fae4-182d-400c-ab01-2ecaee5cc9ec"
2,"Heading to Peach's Castle with Luigi",61260,True,True,"","","Nintendo Music推薦集","8bd131ca-830d-46b3-b410-722d76c9c9a3","https://image-assets.m.nintendo.com/82797fb7-bca0-4e07-998d-16c0b5c56b3b"
3,"Peach's Castle",191627,True,True,"碧姬|紙片世界","","Nintendo Music推薦集","f4e8ce2b-5126-4de7-b41d-5fab3acd3dec","https://image-assets.m.nintendo.com/4783be44-1f2f-4dde-90a0-dbe209dd219b"
4,"Olivia's First Appearance",111891,True,True,"奧莉維亞","","Nintendo Music推薦集","71f6e348-33e7-4e05-86d6-a7e207430097","https://image-assets.m.nintendo.com/2f089c2e-126c-4b26-b135-e3f9e325ca25"
5,"1,000-Fold Arms",100034,True,True,"","","Nintendo Music推薦集","c828255a-f466-48f1-97da-f53ea0e7e17e","https://image-assets.m.nintendo.com/545ef6a1-cc5e-4faa-989c-1c6f533d2cee"
6,"Peach's Castle - Underground",200088,True,True,"紙片世界","也許有鬼怪","Nintendo Music推薦集","b347d735-818a-4cde-a232-7de4d663bd47","https://image-assets.m.nintendo.com/d43693ff-6ee6-49a7-94c4-a98728483ab8"
7,"Folded Soldier's First Appearance",88102,True,True,"摺紙軍團","","Nintendo Music推薦集","f3dba6ae-bf29-4fb3-b31a-162609667dbf","https://image-assets.m.nintendo.com/9203e50c-0337-49e4-8631-ba5f9c0ff186"
8,"Event Battle",199891,True,True,"戰鬥|摺紙軍團","","Nintendo Music推薦集","6207fe84-b520-411e-a912-bbf39ca1f7b7","https://image-assets.m.nintendo.com/ef16eefc-76df-44f4-a91e-ee1af8d6c590"
9,"Event Battle - Thinking",200363,True,False,"戰鬥","","","7b75effa-d56c-403f-807f-902a9b340621","https://image-assets.m.nintendo.com/5e58b3a8-50e6-445b-bb83-039fae2f0f2d"
10,"Event Battle - Victory Fanfare",3548,False,False,"戰鬥","Win!","","487a5da9-787d-4030-ac71-b8b8772dc8b8","https://image-assets.m.nintendo.com/4ac931a8-b7d0-48a9-acd0-b578522e3d9b"
